Date,Type,AAPL,GOOGL,MSFT
2025-02-20,Close,245.508056640625,184.12478637695312,415.3674621582031
2025-02-20,High,246.4568094488268,184.8730178009315,418.5416276159257
2025-02-20,Low,243.9700649298591,182.28912893693322,411.78404435480104
2025-02-20,Open,244.61922281669615,184.36422591283684,414.52900508229465
2025-02-20,Volume,32316900.0,20441500.0,23508700.0
2025-02-21,Close,245.22842407226562,179.23634338378906,407.4619445800781
2025-02-21,High,248.36431123309396,184.90294194163184,417.28390907488637
2025-02-21,Low,244.89885442060717,178.65770926804197,407.14255413255484
2025-02-21,Open,245.6278941258364,184.71338754923798,416.57521868274245
2025-02-21,Volume,53197400.0,35199200.0,27524800.0
2025-02-24,Close,246.77639770507812,178.8273162841797,403.2596740722656
2025-02-24,High,248.53408727873096,182.68818568914216,408.6198287275297
